counter_rating,counter_subscribers,info,link,name,tags
4315,145.0,Город высоких технологий и IT,https://habr.com/ru/company/innopolis/,Город Иннополис,"Робототехника,Научно-популярное,Разработка робототехники,Мультикоптеры,Конференции"
4414,122.0,Быстрые релизы. Качественный код. Меньше проблем.,https://habr.com/ru/company/gitlab/,GitLab,"DevOps,Open source,Git,IT-инфраструктура,Системы управления версиями"
4428,123.0,Российский интегратор ITSM решений,https://habr.com/ru/company/it-guild/,ИТ Гильдия,"Help Desk Software,Service Desk,IT-инфраструктура,Системное администрирование,Управление проектами"
4524,18.0,Global ecosystem,https://habr.com/ru/company/admitad_gmbh/,Admitad,"Python,Программирование,Учебный процесс в IT,Карьера в IT-индустрии,DIY или Сделай сам"
4502,1.5,Интерактивные онлайн-курсы,https://habr.com/ru/company/htmlacademy/,HTML Academy,"Веб-дизайн,Разработка веб-сайтов,HTML,Карьера в IT-индустрии"
4203,90.0,"Финтех-компания, признанный лидер индустрии",https://habr.com/ru/company/exness/,Exness,"Управление персоналом,Управление проектами,Программирование,DevOps,Управление разработкой"
4476,46.0,Accenture Russia,https://habr.com/ru/company/accenture/,Accenture,"Облачные сервисы,Python,Microsoft Azure,Управление персоналом,Agile"
4408,321.0,Компания,https://habr.com/ru/company/billing/,Nexign,"Конференции,Карьера в IT-индустрии,Учебный процесс в IT,Java"
4560,631.0,Системный интегратор,https://habr.com/ru/company/tssolution/,TS Solution,"Информационная безопасность,Сетевые технологии,Системное администрирование,IT-инфраструктура,Сетевое оборудование"
3793,13.0,Parimatch Tech. Developing. Exciting.,https://habr.com/ru/company/parimatch_tech/,Parimatch Tech,"Open source,Node.JS,GitHub,Управление персоналом,Карьера в IT-индустрии"
4540,125.0,Цифровое рабочее место Zextras на базе Zimbra OSE,https://habr.com/ru/company/zimbra/,Zextras,"Системное администрирование,Сетевые технологии,Информационная безопасность,Облачные сервисы,Резервное копирование"
3788,179.0,Сервис вопросов и ответов для IT специалистов,https://habr.com/ru/company/toster/,Хабр Q&A,
3787,52.0,Компания,https://habr.com/ru/company/dentsuRU/,dentsu russia,"Медийная реклама,Big Data,Машинное обучение,Социальные сети и сообщества,Python"
4313,265.0,Компания,https://habr.com/ru/company/digdes/,Digital Design,"IT-компании,Open source,Управление персоналом,.NET,Карьера в IT-индустрии"
3959,19.0,Сокращаем time to value для Разработки и SRE,https://habr.com/ru/company/proto/,Proto,"Системное администрирование,DevOps,Микросервисы,Kubernetes,Разработка веб-сайтов"
3914,227.0,"Обработка изображений, распознавание в видеопотоке",https://habr.com/ru/company/smartengines/,Smart Engines,"Обработка изображений,Искусственный интеллект,Машинное обучение,Алгоритмы,Информационная безопасность"
3937,450.0,"Крупнейшая Биржа России, СНГ и Восточной Европы",https://habr.com/ru/company/moex/,Московская Биржа,
3911,465.0,Защита цифровых прав,https://habr.com/ru/company/roskomsvoboda/,РосКомСвобода,"Законодательство в IT,Развитие стартапа,Хакатоны,Информационная безопасность,Исследования и прогнозы в IT"
3949,162.0,Защита от внутренних угроз и комплексных кибератак,https://habr.com/ru/company/varonis/,Varonis Systems,"Информационная безопасность,Системное администрирование,PowerShell,IT-инфраструктура,Антивирусная защита"
3824,178.0,IBS – технологический партнер лидеров экономики,https://habr.com/ru/company/ibs/,IBS,"Системное администрирование,IT-инфраструктура,Виртуализация,Интерфейсы,Геоинформационные сервисы"
3962,122.0,"Исследуем, разрабатываем, защищаем",https://habr.com/ru/company/ntc-vulkan/,НТЦ Вулкан,"Производство и разработка электроники,Информационная безопасность,Программирование микроконтроллеров,TDD,Электроника для начинающих"
3942,171.0,STSS — отечественный производитель и интегратор,https://habr.com/ru/company/stss/,STSS,"Конференции,Видеоконференцсвязь,Тестирование IT-систем,Учебный процесс в IT,Работа с видео"
3995,149.0,Компания,https://habr.com/ru/company/pm/,Перспективный мониторинг,"Информационная безопасность,CTF"
4099,87.0,Open Web Application Security Project,https://habr.com/ru/company/owasp/,OWASP,"Информационная безопасность,Акрибия"
4096,475.0,Computer Vision and Machine Learning,https://habr.com/ru/company/recognitor/,Recognitor,"Машинное обучение,Обработка изображений,Искусственный интеллект,Робототехника,Python"
4097,142.0,Компания,https://habr.com/ru/company/nerepetitor/,Нерепетитор.ру,"Математика,Машинное обучение,Физика,Занимательные задачки,Статистика в IT"
4118,229.0,Компания,https://habr.com/ru/company/bizone/,BI.ZONE,"Информационная безопасность,CTF,Реверс-инжиниринг,Схемотехника,Производство и разработка электроники"
3464,143.0,Компания,https://habr.com/ru/company/posttech/,Почтатех,"IT-инфраструктура,IT-компании,API,Офисы IT-компаний,Законодательство в IT"
3436,185.0,Retention Management Platform,https://habr.com/ru/company/retailrocket/,Retail Rocket,"Совершенный код,Проектирование и рефакторинг,ООП,UML Design,Программирование"
4018,178.0,Компания,https://habr.com/ru/company/gridgain/,GridGain,"Распределённые системы,Алгоритмы"
4133,132.0,Компания,https://habr.com/ru/company/antiplagiat/,«Антиплагиат»,"Карьера в IT-индустрии,Natural Language Processing,Машинное обучение,Математика,Учебный процесс в IT"
3443,61.0,Международный мобильный маркетплейс,https://habr.com/ru/company/joom/,Joom,"Программирование,Open source,Разработка под iOS,Разработка мобильных приложений,Swift"
3434,3.0,Компания,https://habr.com/ru/company/wallarm/,Валарм,"Информационная безопасность,Разработка веб-сайтов,JavaScript"
4066,58.0,Компания,https://habr.com/ru/company/rosbank/,Росбанк,"Тестирование IT-систем,Agile,Java,Финансы в IT,Управление разработкой"
3546,197.0,Мы разрабатываем «Медузу»,https://habr.com/ru/company/meduza/,Meduza: dev,"Разработка мобильных приложений,Разработка под iOS,Разработка под Android,Flutter,Тестирование мобильных приложений"
3543,49.0,Компания,https://habr.com/ru/company/etmc_exponenta/,ЦИТМ Экспонента,"Matlab,C,Алгоритмы,Инженерные системы,Программирование"
3552,471.0,"серверы HP, Dell и Lenovo: новые и восстановленные",https://habr.com/ru/company/pc-administrator/,Сервер Молл,"Информационная безопасность,Системное администрирование"
3600,108.0,Компания,https://habr.com/ru/company/cian/,Циан,"Микросервисы,Программирование,Разработка веб-сайтов,Управление разработкой,Usability"
3559,136.0,Разработка и внедрение технологий разговорного AI,https://habr.com/ru/company/just_ai/,Just AI,"Голосовые интерфейсы,Kotlin,Разработка под Android,Разработка игр,Хакатоны"
3619,191.0,RBK.money – современная платежная платформа,https://habr.com/ru/company/rbkmoney/,RBK.money,"Платежные системы,Open source,Java,Erlang/OTP,Информационная безопасность"
3618,94.0,Компания,https://habr.com/ru/company/nspk/,Мир Plat.Form (НСПК),"Платежные системы,IT-компании,IT-инфраструктура,Системное администрирование,Программирование"
3466,98.0,Компания,https://habr.com/ru/company/singularis/,Singularis,Алгоритмы
2902,324.0,Компания,https://habr.com/ru/company/cbs/,CBS,
2956,45.0,Компания,https://habr.com/ru/company/bringo/,Bringo Group Ltd,
3186,469.0,Компания,https://habr.com/ru/company/comptek/,CompTek,
2868,42.0,Компания,https://habr.com/ru/company/productstar/,ProductStar,"Управление продуктом,Аналитика мобильных приложений,Интервью,Управление проектами,Big Data"
3060,43.0,Ride-hailing app based on peer-to-peer model,https://habr.com/ru/company/indriver/,inDriver,"Разработка под Android,Разработка мобильных приложений,Управление персоналом,Удалённая работа,Maps API"
3131,26.0,Компания,https://habr.com/ru/company/niisokb/,НИИ СОКБ,"IT-инфраструктура,Информационная безопасность,IT-стандарты,IT-компании,Управление персоналом"
3163,45.0,Компания,https://habr.com/ru/company/bcs_company/,BCS FinTech,"Управление проектами,Управление разработкой,Разработка под iOS,Развитие стартапа,Тестирование IT-систем"
3003,68.0,AERODISK — российский производитель СХД.,https://habr.com/ru/company/aerodisk/,AERODISK,"Системное администрирование,IT-инфраструктура,Хранение данных,Хранилища данных"
3112,59.0,Компания,https://habr.com/ru/company/gazpromneft/,Газпромнефть,"Развитие стартапа,Виртуализация,Транспорт,Big Data,Машинное обучение"
3178,32.0,Компания,https://habr.com/ru/company/rdtex/,РДТЕХ (Разумные Деловые Технологии),"Oracle,Учебный процесс в IT,Облачные сервисы,История IT,Big Data"
3223,37.0,Компания,https://habr.com/ru/company/alfastrah/,АльфаСтрахование,
3297,6.0,Компания,https://habr.com/ru/company/rdv-it/,RDV,"Развитие стартапа,История IT,Софт,1С"
3281,53.0,"Исследование IT-брендов от Хабра, ЭКОПСИ и ОНТИКО",https://habr.com/ru/company/itbrand/,IT-бренд работодателя,"Управление персоналом,Карьера в IT-индустрии,Статистика в IT,Научно-популярное,Удалённая работа"
3217,330.0,Обучение в области работы с данными с 2015 г.,https://habr.com/ru/company/newprolab/,New Professions Lab,"Интервью,Обработка изображений,Машинное обучение,Scala,Apache"
2491,131.0,"Больше, чем обычные технологии. Больше, чем бизнес",https://habr.com/ru/company/toshibarus/,Toshiba,"Научно-популярное,Будущее здесь,Энергия и элементы питания,Искусственный интеллект,Экология"
2509,26.0,Разработка и техподдержка онлайн-проектов,https://habr.com/ru/company/lenvendo/,Lenvendo,"Системное администрирование,Виртуализация,Сетевые технологии"
2447,333.0,Компания,https://habr.com/ru/company/toster_conf/,.тостер.conf,
2471,77.0,Универсальный ИТ-интегратор,https://habr.com/ru/company/inline_tech/,INLINE Technologies,
2335,58.0,Надежные решения для безопасности бизнеса,https://habr.com/ru/company/gaz-is/,Газинформсервис,"Информационная безопасность,Криптография,Компьютерное железо,Настольные компьютеры,UEFI"
2532,18.0,Uma.Tech создает IT-инновации для медиабизнеса.,https://habr.com/ru/company/umatech/,Uma.Tech,"Тестирование IT-систем,Программирование,JavaScript,Scala,Swift"
2490,122.0,Инструменты для РРС и SMM,https://habr.com/ru/company/click/,Click.ru,"Интернет-маркетинг,Контекстная реклама,Повышение конверсии,Контент-маркетинг,Медийная реклама"
2606,33.0,Компания,https://habr.com/ru/company/protei/,НТЦ ПРОТЕЙ,"C++,Интерфейсы,Тестирование IT-систем,Java,Тестирование веб-сервисов"
2588,223.0,Визуальная среда Arduino и ESP8266,https://habr.com/ru/company/flprog/,FLProg,
2611,29.0,Компания,https://habr.com/ru/company/fortiservice/,FORTISERVICE,"Информационная безопасность,Системное администрирование,Сетевые технологии,Сетевое оборудование"
2626,155.0,Компания,https://habr.com/ru/company/bmstu/,МГТУ им. Н.Э. Баумана,"Гаджеты,Инженерные системы,Программирование,Учебный процесс в IT,Автомобильные гаджеты"
2547,60.0,Дистрибьюторская платформа для облачных сервисов,https://habr.com/ru/company/odin_ingram_micro/,Ingram Micro Cloud,"VueJS,JavaScript,Open source,DevOps,TypeScript"
3247,39.0,Комплексные решения для защиты и ускорения сайтов,https://habr.com/ru/company/ddosguard/,DDoS-Guard,"Информационная безопасность,Сетевые технологии,Высокая производительность,Децентрализованные сети,Клиентская оптимизация"
2642,267.0,Открытое государство и открытые данные,https://habr.com/ru/company/infoculture/,«Информационная культура»,
2512,11.0,Автоматизируем любые задачи для бизнеса,https://habr.com/ru/company/automacon/,Автомакон,"IT-инфраструктура,Разработка под e-commerce,Мессенджеры,1С-Битрикс,Управление e-commerce"
2464,55.0,"Рассказываем про Managed IT, облака и ИБ.",https://habr.com/ru/company/itglobalcom/,ITGLOBAL.COM,"Информационная безопасность,IT-компании,IT-инфраструктура,Облачные вычисления,Системное администрирование"
1909,13.0,Обучение по программам магистратуры и аспирантуры,https://habr.com/ru/company/eusp/,Европейский университет в Санкт-Петербурге,"Открытые данные,Визуализация данных,Статистика в IT,Научно-популярное"
